"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"24 Rio Grande do Norte";"102,79";"70,41";"55,35";"57,22";"68,94";"71,66";"78,05";"86,14";"48,00";"0,96";"59,77";"78,30";"78,86";"71,05";"94,37";"64,34";"37,45";"82,95";"32,54";"69,56";"79,94";"18,50";"41,94";"35,49";"70,79";"74,39";"69,72"
"25 Paraíba";"105,55";"69,94";"60,36";"55,51";"75,54";"79,32";"83,68";"92,47";"54,89";"1,54";"64,59";"79,19";"78,37";"74,99";"104,78";"66,65";"34,68";"86,05";"34,18";"71,21";"77,32";"23,83";"39,83";"35,46";"71,96";"77,31";"72,84"
"26 Pernambuco";"112,18";"73,63";"62,23";"56,77";"76,02";"80,96";"86,42";"103,15";"54,19";"3,53";"67,14";"83,57";"86,30";"77,73";"98,87";"70,95";"40,82";"88,86";"33,91";"76,13";"94,92";"21,44";"52,93";"45,49";"76,94";"80,06";"75,94"
"27 Alagoas";"103,86";"71,71";"53,82";"52,32";"73,49";"78,72";"78,85";"85,58";"56,11";"1,34";"68,33";"82,32";"80,97";"77,13";"93,68";"67,94";"39,48";"75,90";"33,50";"74,98";"69,27";"20,08";"48,67";"40,26";"70,69";"77,92";"71,40"
"28 Sergipe";"103,88";"82,61";"62,78";"59,44";"77,76";"78,04";"83,94";"95,75";"59,74";"0,81";"65,08";"82,79";"84,30";"75,79";"104,31";"72,25";"39,31";"90,57";"33,81";"76,95";"90,73";"26,36";"40,64";"31,02";"74,10";"79,55";"74,94"
"29 Bahia";"101,03";"64,58";"53,00";"58,30";"69,81";"69,92";"73,70";"86,79";"44,99";"65,88";"61,74";"74,22";"78,22";"69,01";"103,28";"66,28";"36,26";"81,72";"30,28";"71,79";"77,30";"22,73";"35,32";"31,83";"71,42";"75,85";"72,94"
"31 Minas Gerais";"99,02";"71,55";"64,51";"74,00";"86,41";"84,47";"91,67";"95,13";"72,91";"75,66";"74,60";"88,19";"90,78";"84,31";"105,97";"80,97";"39,63";"88,70";"41,56";"83,93";"81,78";"33,54";"33,28";"37,51";"72,36";"77,95";"78,50"
"32 Espírito Santo";"102,03";"72,62";"66,58";"63,46";"94,91";"82,09";"90,45";"100,95";"71,16";"20,53";"73,32";"87,28";"87,83";"79,62";"105,33";"79,74";"42,00";"93,10";"40,70";"74,15";"91,54";"25,27";"51,77";"50,36";"76,08";"78,67";"77,50"
"33 Rio de Janeiro";"108,30";"64,05";"59,00";"64,57";"74,88";"77,02";"76,92";"97,37";"53,68";"7,63";"65,82";"77,03";"77,28";"68,99";"102,57";"70,06";"41,30";"88,83";"31,40";"64,45";"86,78";"30,18";"38,18";"41,04";"68,84";"72,34";"70,89"
"35 São Paulo";"104,72";"71,46";"65,27";"75,40";"81,00";"81,48";"87,35";"97,03";"74,90";"19,31";"69,26";"83,49";"85,39";"80,88";"104,44";"80,22";"48,47";"91,90";"40,67";"77,07";"98,54";"29,24";"37,27";"35,20";"71,87";"71,24";"73,07"
"41 Paraná";"102,37";"63,41";"64,68";"67,93";"89,16";"84,00";"89,41";"95,67";"77,12";"40,39";"73,71";"87,04";"89,72";"78,61";"102,46";"83,32";"68,94";"91,41";"46,77";"77,52";"91,36";"28,86";"34,30";"39,85";"72,61";"74,67";"75,90"
"42 Santa Catarina";"100,77";"72,81";"69,60";"73,74";"89,43";"85,12";"94,00";"96,02";"88,91";"20,19";"76,75";"89,62";"92,15";"83,65";"103,24";"84,30";"72,22";"90,61";"45,72";"79,77";"89,04";"27,06";"41,88";"42,62";"73,40";"73,79";"75,65"
"43 Rio Grande do Sul";"99,62";"66,49";"59,77";"63,11";"75,77";"80,85";"84,17";"91,73";"76,27";"23,71";"70,18";"81,66";"84,17";"77,78";"94,76";"78,37";"64,95";"86,80";"42,31";"73,65";"84,64";"22,88";"33,45";"34,51";"68,16";"73,12";"72,05"
"50 Mato Grosso do Sul";"108,87";"86,49";"70,69";"72,65";"85,24";"91,81";"95,23";"99,70";"83,42";"90,09";"76,58";"95,91";"96,41";"91,76";"107,24";"79,87";"70,64";"93,35";"45,06";"88,51";"85,49";"26,89";"50,07";"45,22";"77,41";"76,80";"81,32"
"51 Mato Grosso";"104,20";"78,74";"63,21";"64,71";"73,90";"81,28";"83,89";"96,55";"66,77";"80,88";"69,88";"84,03";"86,50";"78,12";"101,60";"75,72";"66,92";"87,83";"39,24";"76,46";"85,87";"22,81";"44,10";"40,64";"75,35";"76,43";"77,41"
"52 Goiás";"105,06";"65,27";"63,50";"67,02";"75,20";"79,13";"84,60";"92,47";"64,56";"81,09";"68,86";"81,13";"83,30";"76,31";"103,60";"74,09";"61,02";"88,13";"34,96";"68,42";"83,93";"27,89";"31,48";"39,05";"72,67";"80,41";"78,36"
"53 Distrito Federal";"110,80";"93,62";"65,11";"58,37";"88,71";"83,76";"85,99";"95,01";"75,82";"30,56";"74,32";"87,14";"89,85";"81,29";"96,37";"86,70";"71,96";"88,31";"40,01";"79,19";"5,74";"41,94";"53,89";"45,91";"70,22";"101,36";"84,54"
"Total";"104,99";"70,47";"61,00";"64,47";"78,31";"78,96";"83,20";"94,07";"62,44";"39,45";"67,83";"81,61";"83,64";"76,54";"101,74";"74,48";"49,10";"87,42";"36,64";"74,22";"85,98";"26,01";"39,76";"37,93";"71,98";"75,71";"74,55"
