 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:1994-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"018 Sarampo";"009 Haemophilus influenzae b";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"52 Goiás";106,01;62,30;61,42;64,13;75,54;79,35;83,06;92,72;0,21;81,40;65,29;79,94;83,22;76,20;105,01;74,27;62,76;86,12;4,61;68,30;83,93;27,89;32,53;35,59;77,49
"53 Distrito Federal";111,33;92,93;62,94;55,10;88,80;82,50;84,25;95,00;0,12;27,36;71,56;86,21;89,98;81,38;96,92;89,83;78,40;86,83;4,64;79,50;5,74;41,94;58,45;41,23;75,33
"Total";105,82;68,79;58,57;61,23;78,46;77,80;81,04;94,18;0,43;37,72;63,73;80,51;82,82;76,27;102,30;74,23;53,27;85,86;3,31;72,52;85,97;26,00;40,48;33,97;73,56
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

